label,file_path,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,centroid,bandwidth,rolloff
buka,dataset48k/train\buka\buka48k-buka_0.wav.wav,-872.3577270507812,63.85288619995117,2.8193511962890625,-0.5428841710090637,6.411361217498779,3.2979774475097656,3.91011118888855,-0.13796375691890717,0.48217639327049255,0.16954506933689117,-3.085142135620117,0.9241801500320435,-0.11610353738069534,0.00988509807180851,641.3068441082817,1146.6105160991572,1180.1030585106382
buka,dataset48k/train\buka\buka48k-buka_1.wav.wav,-554.865234375,60.57759094238281,6.296421051025391,-0.26221269369125366,6.425356864929199,4.7338948249816895,3.00260591506958,-0.029648426920175552,1.037153720855713,0.754114031791687,-2.752659320831299,0.35828837752342224,-0.010097289457917213,0.01540966248244382,581.2591673597415,892.8750002961508,981.8074087078652
buka,dataset48k/train\buka\buka48k-buka_10.wav.wav,-549.2072143554688,60.575103759765625,6.290410041809082,-0.267361581325531,6.421817302703857,4.7317891120910645,2.999685287475586,-0.032743047922849655,1.0351072549819946,0.7526917457580566,-2.7558021545410156,0.3531527519226074,-0.013473253697156906,0.015508415993679775,579.2191595419108,889.671770829606,978.2522823033707
buka,dataset48k/train\buka\buka48k-buka_100.wav.wav,-686.6322021484375,60.24818420410156,6.112226963043213,-0.24425947666168213,6.479720592498779,4.699699401855469,3.013662338256836,-0.1061207577586174,0.9443408846855164,0.5696468353271484,-2.8284645080566406,0.22935479879379272,-0.23364728689193726,0.01313562225877193,745.8142756919254,1069.2884878088662,1331.4967105263158
buka,dataset48k/train\buka\buka48k-buka_101.wav.wav,-748.9031982421875,60.104400634765625,5.992037773132324,-0.27657705545425415,6.423088073730469,4.582635402679443,2.9766948223114014,-0.1501196026802063,0.8879054188728333,0.5496948957443237,-2.8412723541259766,0.18493705987930298,-0.2524489164352417,0.011655359100877193,662.1656494934575,1045.6432983803138,1157.8125
buka,dataset48k/train\buka\buka48k-buka_102.wav.wav,-604.5575561523438,60.310691833496094,6.172316551208496,-0.2161809504032135,6.500994682312012,4.714865207672119,3.020787477493286,-0.08485600352287292,0.9700665473937988,0.5796850919723511,-2.836973190307617,0.2357816994190216,-0.2142074853181839,0.014668996710526315,682.9281823070379,1005.350708638495,1221.2993421052631
buka,dataset48k/train\buka\buka48k-buka_103.wav.wav,-597.458984375,58.152503967285156,-1.261106014251709,0.8896180391311646,12.050297737121582,-1.0908644199371338,2.9587326049804688,5.43222188949585,-1.067764163017273,-2.0512123107910156,1.0097919702529907,1.264648675918579,0.834198534488678,0.00838532464664311,671.7071465385744,979.3511193772744,1231.9180653710248
buka,dataset48k/train\buka\buka48k-buka_104.wav.wav,-680.9671020507812,60.25968933105469,6.1351542472839355,-0.24394552409648895,6.459765434265137,4.697149753570557,3.015115737915039,-0.11527549475431442,0.9530279636383057,0.5803737640380859,-2.829543113708496,0.23919378221035004,-0.22337163984775543,0.013163034539473685,738.3219870093181,1061.0886987718566,1316.6118421052631
buka,dataset48k/train\buka\buka48k-buka_105.wav.wav,-671.012939453125,58.12660217285156,-1.2741960287094116,0.88925701379776,12.039011001586914,-1.098464012145996,2.9533286094665527,5.400727272033691,-1.0698573589324951,-2.0422251224517822,1.001649022102356,1.2609429359436035,0.8339664936065674,0.008316309628975265,491.6354436672845,845.8108557349944,866.6077738515901
buka,dataset48k/train\buka\buka48k-buka_106.wav.wav,-809.9413452148438,59.854618072509766,5.588198661804199,-0.12378250807523727,6.41342830657959,4.328732490539551,3.0083916187286377,-0.16283933818340302,0.7618368864059448,0.572919487953186,-2.7447547912597656,0.18652129173278809,-0.3512185215950012,0.01050233004385965,676.4072960477081,1089.876237350811,1141.1184210526317
